Въпрос,Опция A,Опция B,Опция C,Опция D,Индекс на верния отговор (0-3),Ниво на трудност (1-15)
question,answer1,answer2,answer3,answer4,correct,level
Кой актьор управлява Triumph Bonneville T100 в култовия филм "The Great Escape" от 1963 г.?,Стив Маккуин,Марлон Брандо,Клинт Истууд,Пол Нюман,0,2
В кой филм от 1969 г. Питър Фонда и Денис Хопър пътуват из Америка на мотоциклети Harley-Davidson?,Born to Ride,The Wild One,Easy Rider,Rebel Without a Cause,2,1
Кой японски мотоциклет е представен във филма "Top Gun" с Том Круз?,Honda CBR,Kawasaki GPZ900R Ninja,Suzuki GSX-R,Yamaha YZF,1,2
В кой филм Арнолд Шварценегер кара Harley-Davidson Fat Boy?,Терминатор 2,Хищникът,Командо,Зов за завръщане,0,1
Кой актьор изпълнява ролята на мотоциклетния каскадьор Джони Блейз във филма "Ghost Rider"?,Кийану Рийвс,Никълъс Кейдж,Хю Джакман,Вин Дизел,1,1
Кой филм от 2004 г. разказва историята на новозеландски мотоциклетист, който установява световен рекорд за скорост?,The Motorcycle Diaries,The World's Fastest Indian,Hitting the Apex,Road,1,2
Какъв модел мотоциклет използва Том Круз в "Mission: Impossible - Fallout"?,BMW R nineT Scrambler,Ducati Scrambler,BMW S1000RR,Triumph Speed Triple,2,2
В кой филм Мила Йовович шофира Ducati Monster в борбата си срещу зомбита?,Заразно зло,Ултравиолет,Петият елемент,Обитeл на злото: Живот след смъртта,3,2
Кой от изброените филми НЕ е документален филм за състезания с мотоциклети?,TT3D: Closer to the Edge,Road,The Doctor, The Tornado & The Kentucky Kid,Silver Dream Racer,3,3
Кое кино-поредица включва сцена, в която Уесли Снайпс кара Triumph Speed Triple по магистрала?,Блейд,Матрицата,Умирай трудно,Мисията невъзможна,0,3
В кой филм на Акира Куросава от 1949 г. главният герой пътува с мотоциклет Meguro?,Seven Samurai,Rashômon,Stray Dog,Throne of Blood,2,3
Кой мотоциклет кара Брус Уейн в "Черният рицар"?,Ducati Panigale,Batcycle,Batpod,Ducati Diavel,2,1
В кой филм Брад Пит управлява мотоциклет BMW R1200GS?,Мистър и мисис Смит,Троя,Световна война Z,Убий ме нежно,2,2
Кой е режисьорът на документалния филм "On Any Sunday" от 1971 г., който променя имиджа на мотоциклетистите в обществото?,Брус Браун,Стив Маккуин,Роджър Кормън,Франсис Форд Копола,0,3
В кой филм Мат Деймън управлява мотоциклет Triumph Scrambler по улиците на Тенерифе?,Джейсън Борн,Интерстелар,Марсианецът,Идентичност на Борн,3,2
В кой филм с Киану Рийвс използваното мотоциклетно преследване включва Ducati 996?,Матрицата Презареждане,Джон Уик,Константин,47 Ронини,0,2
Каква марка мотоциклет кара Даниел Крейг във филма "Skyfall"?,Honda CRF250R,Yamaha XT660,Montesa Cota,BMW R1200GS,0,3
В кой филм се използват модифицирани мотоциклети Yamaha XT500 за пост-апокалиптични сцени?,Road Warrior,Книгата на Илай,Аз съм легенда,Водният свят,0,3
Кой филм от 2016 г. разказва за пътуването на младия Че Гевара с мотоциклет Norton 500 през Южна Америка?,Salt of the Earth,The Motorcycle Diaries,Viva Ché,Ernesto,1,3
Кой актьор кара мотоциклет Triumph Thruxton във филма "Tron: Legacy"?,Джеф Бриджис,Гарет Хедлунд,Оливия Уайлд,Майкъл Шийн,1,3
Кой е най-големият мотосъбор в България, провеждащ се ежегодно през лятото край Каварна?,Moto Expo,Sofia Rider Fest,Balkan Bike Week,Moto Rock Fest,2,1
През кой месец традиционно се провежда мото-събитието "Moto Expo" в София?,Април,Март,Декември,Февруари,0,2
Колко дни продължава традиционният мотосъбор в Самоков, организиран от мотоклуб "Steel Roses"?,Един ден,Три дни,Седем дни,Два дни,1,2
Кой български мотоклуб е организатор на традиционния мотосъбор "Рок в Рила"?,Dark Souls MC,Bikersland MCC,Велико Търново MC,Созопол Riders,0,2
Кое от изброените НЕ е популярно мото-туристическо място в България?,Шипка,Рилски манастир,Гара Бов,Кирково,3,1
През коя година се провежда първият официален мотосъбор в България след 1989 г.?,1990,1995,1992,2000,2,3
Кое мото-събитие е известно с традиционното си шествие през центъра на София?,Sofia Bike Fest,Sofia Rider Fest,Moto Expo,Dark Souls Ride,1,1
Кой е най-старият действащ мотоклуб в България, основан преди 1989 г.?,Sofia Riders,Black Devils MC,Eagles MCC,Варна MC,2,3
В кой български град се провежда ежегодното мото-събитие "Black Sea Bike Week"?,Варна,Бургас,Созопол,Поморие,0,2
През кой месец традиционно се открива мото-сезонът в България с масово шествие?,Април,Май,Март,Юни,0,1
Кое мото-събитие се провежда ежегодно в местността "Карандила" край Сливен?,Balkan Riders Fest,National Moto Fest,Karandila Bike Week,Sliven Moto Rock,2,2
Кой известен български рок изпълнител традиционно участва в мото-феста "Велико Търново"?,Милена Славова,Кирил Маричков,Васко Кръпката,Джон Лоутън,2,2
Кое събитие в България е посветено специално на мотоциклетите от марката Harley-Davidson?,Sofia Chopper Show,Harley Days Bulgaria,Black Sea Bike Week,HOG Rally Bulgaria,3,2
Колко километра е обиколката "България на два колела", организирана от мото клуб "Bulgarian Riders"?,Около 2000 км,Около 1000 км,Около 1500 км,Около 2500 км,0,2
Кое не е част от традиционните активности на българските мотосъбори?,Рок концерти,Състезания по стънт,Благотворителни каузи,Корида,3,1
В кой български град се намира най-големият мотоклуб в страната?,София,Пловдив,Варна,Бургас,0,2
Какво представлява мото-събитието "Distinguished Gentleman's Ride", провеждащо се и в България?,Състезание за скорост,Благотворителна обиколка с класически мотоциклети,Изложение на мотоциклети,Среща на мото-инструктори,1,2
Кой е първият български мотоциклетист, който е завършил най-трудното рали в света - Дакар?,Мартин Чой,Тодор Християнов,Кирил Комитски,Ивайло Габровски,0,2
Откога датира най-старият български мотоклуб?,1920-те,1930-те,1950-те,1990-те,1,3
Колко дни продължава традиционният мото-събор "Балкан Рок Фест" край язовир Копринка?,Три дни,Четири дни,Два дни,Седем дни,0,2
Кой е най-известният български мотоциклетен състезател, трагично загинал през 2018 г.?,Мартин Чой,Иван Крумов,Драгомир Иванов,Георги Пенчев,0,1
Кое от изброените НЕ е титулуван български мотоклуб?,Dark Riders MC,Eagles MCC,Night Wolves MC Bulgaria,Silver Wings MCC,2,3
В кой български град се провежда ежегодният International Motorcycle Fest?,Пловдив,Варна,Видин,Русе,1,2
На кой мотоциклетен маршрут в България се намира прочутият "Път на костите"?,Родопска магистрала,Шипка-Бузлуджа,Копривщица-Стрелча,Байкал-Твърдица,1,1
Кой национален мотосъбор е най-старият, провеждан без прекъсване в България от 90-те години?,Велико Търново,Казанлък,Хасково,Каварна,0,2
Какво е специалното на мото-събитието "Stella Alpina" в България?,Най-високопланински събор в Източна Европа,Само за жени мотоциклетистки,Изключително за класически мотоциклети,Само за японски мотоциклети,0,3
Колко мотоклуба членуват в Българската Мотоциклетна Федерация (BMF)?,Под 20,Около 30,Над 50,Над 100,2,2
Какъв двигател има мотоциклетът Harley-Davidson Sportster?,V-Twin,Inline-Four,Single-Cylinder,Boxer,0,1
Коя е най-старата съществуваща мотоциклетна марка в света?,Harley-Davidson,Indian,BMW,Triumph,1,3
Каква е функцията на съединителя при мотоциклета?,Свързва двигателя със скоростната кутия,Контролира скоростта,Регулира спирачното усилие,Контролира запалването,0,1
Кой компонент НЕ е част от спирачната система на мотоциклет?,Спирачни дискове,Калипери,Карбуратор,Спирачна течност,2,1
Какво означава съкращението "ABS" при мотоциклетите?,Anti-lock Braking System,Advanced Brake System,Automatic Braking System,Auxiliary Brake Support,0,1
Какъв вид масло обикновено се използва за смазване на веригата на мотоциклета?,Моторно масло,Трансмисионно масло,Специално верижно масло,Хидравлично масло,2,1
Колко тактов е двигателят на повечето съвременни мотоциклети?,Двутактов,Четиритактов,Шесттактов,Осемтактов,1,1
Какво означава "cc" в спецификацията на мотоциклет?,Контролна система,Кубически сантиметри,Компютърен чип,Карбон клиърънс,1,1
На колко километра обикновено се сменя маслото на мотоциклет?,Всеки 1000 км,Всеки 3000-5000 км,Всеки 10000 км,Всеки 20000 км,1,1
Кой компонент определя количеството гориво и въздух, подавани към двигателя на мотоциклета?,Инжектор/карбуратор,Свещ,Филтър,Ауспух,0,1
Коя течност НЕ се използва при поддръжката на мотоциклет?,Спирачна течност,Охладителна течност,Електролит,Антифриз,2,2
Какво представлява "slipper clutch" при мотоциклетите?,Автоматичен съединител,Антиблокираща система за съединителя,Подобрение на скоростната кутия,Механизъм за плавно превключване,1,3
Каква е функцията на мотоциклетния регулатор на напрежение?,Повишава мощността на двигателя,Регулира спирачното усилие,Стабилизира напрежението към електрическата система,Контролира температурата на двигателя,2,2
На колко километра обикновено се сменят запалителните свещи на мотоциклет?,5000 км,10000 км,15000-20000 км,30000-40000 км,2,2
Какво представлява системата "quickshifter" при спортните мотоциклети?,Система за бързо спиране,Система за превключване на предавки без съединител,Система за автоматично превключване,Система за бързо ускорение,1,2
Кой тип охлаждане е най-често срещан при съвременните спортни мотоциклети?,Въздушно,Водно,Маслено,Комбинирано въздушно-маслено,1,1
При какво налягане обикновено трябва да се поддържат гумите на един мотоциклет?,1-1.5 bar,2-2.8 bar,3-3.5 bar,4-5 bar,1,1
Какво е предназначението на "fork seals" при мотоциклета?,Предотвратяват изтичането на масло от предните амортисьори,Осигуряват херметичност на резервоара,Уплътняват цилиндъра,Защитават карбуратора,0,2
Кой е правилният начин за съхранение на мотоциклет през зимата?,С пълен резервоар и без акумулатор,С празен резервоар и включен двигател,С пълен резервоар и поставен на стойка,С празен резервоар и изваден акумулатор,2,2
Какъв е стандартният интервал за смяна на въздушния филтър на мотоциклет?,Всеки 2000 км,Всеки 5000 км,Всеки 10000-15000 км,Всеки 25000 км,2,2
Какво е задължително да се провери преди всяко каране на мотоциклет според системата T-CLOCS?,Само гумите,Спирачки, светлини и налягане в гумите,Ниво на маслото,Горивото,1,1
Коя марка мотоциклети произвежда модела Gold Wing?,Honda,Yamaha,Kawasaki,Suzuki,0,1
През коя година е създаден първият мотоциклет Harley-Davidson?,1893,1903,1913,1923,1,2
Коя е най-голямата японска компания за производство на мотоциклети по обем на продажбите?,Kawasaki,Suzuki,Yamaha,Honda,3,2
Кое от следните НЕ е вид мотоциклет?,Круизър,Чопър,Триатлон,Ендуро,2,1
Кой елемент от мотоциклета е отговорен за намаляване на шума от двигателя?,Филтър,Ауспух,Карбуратор,Инжектор,1,1
Какъв цвят е сигналната лампа за неутрална предавка на повечето мотоциклети?,Червен,Син,Зелен,Жълт,2,1
Какво представлява "моно-байк"?,Мотоциклет с една гума,Мотоциклет с една предавка,Мотоциклет с една задна амортисьорна система,Мотоциклет за един човек,2,2
Какво представлява системата VTEC, използвана в някои мотоциклети Honda?,Variable Timing Electronic Control,Variable Transmission Energy Control,Variable Torque Enhancement Control,Variable Throttle Elevation Control,0,3
През коя година Soichiro Honda основава компанията Honda Motor Co.?,1939,1946,1953,1960,1,3
Какво е "Lane splitting"?,Техника за каране на мотоциклет между ленти в трафик,Техника за завиване в остри завои,Стратегия за изпреварване,Начин за паркиране на мотоциклет,0,2
Какво представлява "countersteering" при управлението на мотоциклет?,Завиване наляво, за да се завие надясно,Управление срещу вятъра,Техника за балансиране,Спиране с контра,0,2
Какво е "highside" и "lowside" при мотоциклетистите?,Видове падания,Техники за изпреварване,Стилове на каране,Видове мотоциклети,0,2
Защо е важно мотоциклетистите да носят каска, сертифицирана по ECE 22.05 или DOT стандарт?,Защото е задължително от закона,Защото предпазва от дъжд,Защото предпазва от сериозни мозъчни травми,Защото подобрява аеродинамиката,2,1
Какъв вид защита осигурява жилетката с D3O технология за мотоциклетисти?,Защита от електричество,Защита от вятър,Защита от вода,Защита от удар,3,2
Кой е правилният начин за спиране на мотоциклет в спешни ситуации?,Използване само на задната спирачка,Използване само на предната спирачка,Последователно използване на двете спирачки,Едновременно и постепенно използване на двете спирачки,3,1
Какво представлява "target fixation" в мотоциклетизма?,Фиксиране на карбуратора,Настройка на фаровете,Тенденция да се удряш в обекта, в който се взираш,Метод за фиксиране на каската,2,2
Каква е максималната скорост, постигната от мотоциклет в официално регистриран рекорд?,Над 400 км/ч,Над 500 км/ч,Около 350 км/ч,Около 450 км/ч,0,2
Кой е изобретателят на първия практически използваем мотоциклет с бензинов двигател?,Готлиб Даймлер,Хенри Форд,Рудолф Дизел,Карл Бенц,0,3
Коя е първата мотоциклетна компания, която въвежда анти-блокираща спирачна система (ABS)?,BMW,Honda,Harley-Davidson,Ducati,0,2
Какво е ATGATT в мотоциклетната общност?,Модел на мотоциклет,Състезателен клас,Тип двигател,Акроним за носене на пълна защитна екипировка,3,2
Какво представлява "wheelie" в мотоциклетизма?,Каране на задна гума,Каране на предна гума,Завъртане на 360 градуса,Дрифтиране,0,1
Какво е "MotoGP"?,Вид мотоциклет,Най-висшата категория в мотоциклетните състезания,Сертификат за качество,Мото общност,1,1
Кой е първият модел мотоциклет, произведен от BMW Motorrad?,R32,K100,S1000RR,GS1200,0,3
Какво представлява "streetfighter" мотоциклетът?,Спортен мотоциклет без обтекатели,Мотоциклет за офроуд,Полицейски мотоциклет,Мотоциклет с кош,0,2
Коя марка мотоциклети има логото с крилете?,Honda,Triumph,Ducati,Moto Guzzi,0,2
Кой е първият масово произвеждан мотоциклет с турбо компресор?,Honda CX500 Turbo,Kawasaki Z1R TC,Yamaha XJ650 Turbo,Suzuki XN85,0,3
Какво е значението на "Ride to Live, Live to Ride" в мотоциклетната култура?,Състезателен лозунг,Каскадьорска философия,Начин на живот, свързан с мотоциклетизма,Инструкция за безопасност,2,1
Кой орган проверява мотоциклетите за техническа изправност в България?,КАТ,ДАИ,МВР,ГТП,3,1
Колко време е валиден знакът "Преминат технически преглед" на мотоциклета?,3 месеца,6 месеца,1 година,2 години,2,1
Какви задължителни документи трябва да носи мотоциклетистът в България?,Само шофьорска книжка,Шофьорска книжка и лична карта,Шофьорска книжка, лична карта и регистрационен талон,Шофьорска книжка, лична карта, регистрационен талон и застраховка,2,1
Каква категория шофьорска книжка е необходима за управление на мотоциклет с обем над 125 cc в България?,A1,A2,A,B,2,1
Кой е правилният начин за съхранение на мотоциклетна каска?,В херметически затворена кутия,На пряка слънчева светлина,На сухо и проветриво място,В найлонова торба,2,1
